City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
380,khadan khak,30.7477,67.7085,43.92,30,0,10.09,PK,1702267062
381,biloli,18.7667,77.7333,73.65,49,40,5.17,IN,1702267063
382,puerto lempira,15.2667,-83.7667,77.68,91,34,9.04,HN,1702267064
383,north platte,41.1239,-100.7654,30.38,59,0,1.99,US,1702267065
384,nova soure,-11.2333,-38.4833,69.53,90,5,5.01,BR,1702267065
385,buka,40.8108,69.1986,40.01,56,100,2.37,UZ,1702267066
386,nishinoomote,30.7333,131.0,66.76,100,75,13.8,JP,1702267067
387,constitucion,-35.3333,-72.4167,54.73,89,90,5.86,CL,1702267068
388,senador pompeu,-5.5881,-39.3717,76.8,71,8,7.67,BR,1702267069
389,avon lake,41.5053,-82.0282,39.22,87,100,3.0,US,1702267070
390,at taj,24.2049,23.2857,50.7,61,0,8.81,LY,1702267070
391,fort mcmurray,56.7268,-111.381,26.19,63,0,24.16,CA,1702267071
392,bubaque,11.2833,-15.8333,82.56,59,100,10.22,GW,1702267072
393,pitea,65.3172,21.4794,17.69,97,99,1.1,SE,1702267073
394,zemio,5.0314,25.1361,68.54,81,88,1.9,CF,1702267074
395,rio grande,-32.035,-52.0986,67.95,86,99,15.43,BR,1702266942
396,christchurch,-43.5333,172.6333,72.54,48,4,21.85,NZ,1702266984
397,tarauaca,-8.1614,-70.7656,75.15,92,99,2.51,BR,1702267076
398,howrah,22.5892,88.3103,68.0,73,0,5.75,IN,1702267077
399,alexandria,31.2156,29.9553,54.14,49,91,5.79,EG,1702266946
400,scottburgh,-30.2867,30.7532,66.52,85,100,4.88,ZA,1702267078
401,iquitos,-3.7481,-73.2472,77.04,88,0,3.44,PE,1702267079
402,tobelo,1.7284,128.0095,84.79,74,66,4.7,ID,1702267080
403,lensk,60.7253,114.9278,-15.05,93,100,8.7,RU,1702267081
404,cacheu,12.2706,-16.1658,69.89,35,100,5.19,GW,1702267082
405,n'zeto,-7.2312,12.8666,79.93,80,100,6.87,AO,1702267083
406,susuman,62.7833,148.1667,-7.02,96,96,5.01,RU,1702267084
407,santa ines,-3.6667,-45.38,74.44,95,98,2.82,BR,1702267085
408,karratha,-20.7377,116.8463,91.13,15,4,16.33,AU,1702266874
409,coquimbo,-29.9533,-71.3436,58.73,88,0,0.0,CL,1702267086
410,port augusta,-32.5,137.7667,73.38,45,82,18.05,AU,1702267082
411,washim,20.1,77.15,71.92,50,10,4.99,IN,1702267088
412,choa saidan shah,32.7201,72.9849,58.44,21,99,1.86,PK,1702267089
413,harar,9.3094,42.1258,57.49,48,10,2.73,ET,1702267090
414,darab,28.7519,54.5444,57.16,23,100,1.57,IR,1702267091
415,wellington,-41.2866,174.7756,65.86,63,7,25.32,NZ,1702267009
416,bada,51.392,109.8717,-3.64,75,8,0.94,RU,1702267093
417,liwale,-9.7667,37.9333,71.83,95,98,1.21,TZ,1702267094
418,talcahuano,-36.7167,-73.1167,55.08,82,0,16.11,CL,1702267094
419,puerto cabezas,14.0351,-83.3888,76.75,93,48,7.63,NI,1702266881
420,aldan,58.6031,125.3894,-21.62,93,100,5.68,RU,1702267096
421,mount pearl,47.5166,-52.7813,32.85,95,75,9.22,CA,1702267097
422,guerrero negro,27.9769,-114.0611,64.76,53,0,2.57,MX,1702267098
423,kismayo,-0.3582,42.5454,81.75,77,13,11.95,SO,1702267099
424,mejit,10.2753,170.8646,81.1,80,100,19.84,MH,1702267100
425,magadan,59.5667,150.8,27.54,83,100,20.94,RU,1702267100
426,rongelap,11.1635,166.8941,81.25,80,100,19.39,MH,1702267101
427,okondja,-0.6549,13.6753,71.78,98,100,1.3,GA,1702267102
428,iguape,-24.7081,-47.5553,69.76,95,100,5.12,BR,1702267103
429,igarka,67.4667,86.5833,-20.07,98,100,6.93,RU,1702267104
430,bodaybo,57.8506,114.1933,-18.02,94,100,0.34,RU,1702267105
431,arai,37.0167,138.25,50.92,69,95,5.44,JP,1702267105
432,kilindoni,-7.9139,39.6668,79.92,81,60,3.6,TZ,1702267106
433,williams lake,52.1415,-122.1445,31.05,98,75,3.44,CA,1702267107
434,oltinko'l,40.8011,72.1634,41.9,50,100,0.78,UZ,1702267108
435,prado,-17.3411,-39.2208,73.02,91,2,3.6,BR,1702267109
